time,temperature_2m,city
2025-05-28T00:00,18.4,Moscow
2025-05-28T01:00,17.8,Moscow
2025-05-28T02:00,17.1,Moscow
2025-05-28T03:00,15.6,Moscow
2025-05-28T04:00,15.1,Moscow
2025-05-28T05:00,14.6,Moscow
2025-05-28T06:00,15.7,Moscow
2025-05-28T07:00,17.0,Moscow
2025-05-28T08:00,18.9,Moscow
2025-05-28T09:00,22.5,Moscow
2025-05-28T10:00,24.7,Moscow
2025-05-28T11:00,26.8,Moscow
2025-05-28T12:00,26.3,Moscow
2025-05-28T13:00,26.9,Moscow
2025-05-28T14:00,27.2,Moscow
2025-05-28T15:00,27.5,Moscow
2025-05-28T16:00,27.5,Moscow
2025-05-28T17:00,27.2,Moscow
2025-05-28T18:00,27.0,Moscow
2025-05-28T19:00,26.2,Moscow
2025-05-28T20:00,25.1,Moscow
2025-05-28T21:00,23.2,Moscow
2025-05-28T22:00,21.5,Moscow
2025-05-28T23:00,20.3,Moscow
2025-05-29T00:00,19.1,Moscow
2025-05-29T01:00,18.3,Moscow
2025-05-29T02:00,17.5,Moscow
2025-05-29T03:00,16.4,Moscow
2025-05-29T04:00,15.8,Moscow
2025-05-29T05:00,15.5,Moscow
2025-05-29T06:00,16.6,Moscow
2025-05-29T07:00,18.1,Moscow
2025-05-29T08:00,20.1,Moscow
2025-05-29T09:00,23.2,Moscow
2025-05-29T10:00,24.8,Moscow
2025-05-29T11:00,26.0,Moscow
2025-05-29T12:00,26.6,Moscow
2025-05-29T13:00,28.1,Moscow
2025-05-29T14:00,28.3,Moscow
2025-05-29T15:00,29.2,Moscow
2025-05-29T16:00,29.6,Moscow
2025-05-29T17:00,29.2,Moscow
2025-05-29T18:00,28.0,Moscow
2025-05-29T19:00,27.1,Moscow
2025-05-29T20:00,25.6,Moscow
2025-05-29T21:00,24.1,Moscow
2025-05-29T22:00,22.8,Moscow
2025-05-29T23:00,22.0,Moscow
2025-05-30T00:00,21.3,Moscow
2025-05-30T01:00,20.7,Moscow
2025-05-30T02:00,20.0,Moscow
2025-05-30T03:00,18.9,Moscow
2025-05-30T04:00,18.1,Moscow
2025-05-30T05:00,17.6,Moscow
2025-05-30T06:00,17.8,Moscow
2025-05-30T07:00,18.9,Moscow
2025-05-30T08:00,20.3,Moscow
2025-05-30T09:00,21.8,Moscow
2025-05-30T10:00,22.8,Moscow
2025-05-30T11:00,23.2,Moscow
2025-05-30T12:00,23.3,Moscow
2025-05-30T13:00,23.1,Moscow
2025-05-30T14:00,23.5,Moscow
2025-05-30T15:00,24.8,Moscow
2025-05-30T16:00,25.1,Moscow
2025-05-30T17:00,24.8,Moscow
2025-05-30T18:00,24.0,Moscow
2025-05-30T19:00,23.6,Moscow
2025-05-30T20:00,22.5,Moscow
2025-05-30T21:00,21.5,Moscow
2025-05-30T22:00,20.9,Moscow
2025-05-30T23:00,20.4,Moscow
2025-05-31T00:00,20.2,Moscow
2025-05-31T01:00,19.6,Moscow
2025-05-31T02:00,19.2,Moscow
2025-05-31T03:00,18.4,Moscow
2025-05-31T04:00,17.7,Moscow
2025-05-31T05:00,17.3,Moscow
2025-05-31T06:00,17.4,Moscow
2025-05-31T07:00,18.2,Moscow
2025-05-31T08:00,18.8,Moscow
2025-05-31T09:00,18.4,Moscow
2025-05-31T10:00,19.2,Moscow
2025-05-31T11:00,19.8,Moscow
2025-05-31T12:00,22.1,Moscow
2025-05-31T13:00,22.5,Moscow
2025-05-31T14:00,22.6,Moscow
2025-05-31T15:00,24.2,Moscow
2025-05-31T16:00,24.2,Moscow
2025-05-31T17:00,24.6,Moscow
2025-05-31T18:00,23.3,Moscow
2025-05-31T19:00,22.7,Moscow
2025-05-31T20:00,21.6,Moscow
2025-05-31T21:00,20.0,Moscow
2025-05-31T22:00,18.8,Moscow
2025-05-31T23:00,17.8,Moscow
2025-06-01T00:00,16.6,Moscow
2025-06-01T01:00,16.1,Moscow
2025-06-01T02:00,15.7,Moscow
2025-06-01T03:00,15.2,Moscow
2025-06-01T04:00,14.7,Moscow
2025-06-01T05:00,14.5,Moscow
2025-06-01T06:00,14.8,Moscow
2025-06-01T07:00,16.0,Moscow
2025-06-01T08:00,16.9,Moscow
2025-06-01T09:00,17.3,Moscow
2025-06-01T10:00,17.6,Moscow
2025-06-01T11:00,18.2,Moscow
2025-06-01T12:00,19.4,Moscow
2025-06-01T13:00,19.3,Moscow
2025-06-01T14:00,20.1,Moscow
2025-06-01T15:00,19.8,Moscow
2025-06-01T16:00,19.2,Moscow
2025-06-01T17:00,18.5,Moscow
2025-06-01T18:00,19.1,Moscow
2025-06-01T19:00,19.0,Moscow
2025-06-01T20:00,18.0,Moscow
2025-06-01T21:00,16.7,Moscow
2025-06-01T22:00,15.2,Moscow
2025-06-01T23:00,13.8,Moscow
2025-06-02T00:00,12.0,Moscow
2025-06-02T01:00,11.1,Moscow
2025-06-02T02:00,10.4,Moscow
2025-06-02T03:00,9.6,Moscow
2025-06-02T04:00,9.2,Moscow
2025-06-02T05:00,9.2,Moscow
2025-06-02T06:00,10.4,Moscow
2025-06-02T07:00,12.2,Moscow
2025-06-02T08:00,14.3,Moscow
2025-06-02T09:00,16.8,Moscow
2025-06-02T10:00,18.3,Moscow
2025-06-02T11:00,19.3,Moscow
2025-06-02T12:00,19.8,Moscow
2025-06-02T13:00,20.6,Moscow
2025-06-02T14:00,21.2,Moscow
2025-06-02T15:00,21.8,Moscow
2025-06-02T16:00,22.0,Moscow
2025-06-02T17:00,22.0,Moscow
2025-06-02T18:00,21.9,Moscow
2025-06-02T19:00,21.3,Moscow
2025-06-02T20:00,20.3,Moscow
2025-06-02T21:00,18.2,Moscow
2025-06-02T22:00,16.8,Moscow
2025-06-02T23:00,15.8,Moscow
2025-06-03T00:00,15.3,Moscow
2025-06-03T01:00,15.3,Moscow
2025-06-03T02:00,14.8,Moscow
2025-06-03T03:00,15.1,Moscow
2025-06-03T04:00,14.6,Moscow
2025-06-03T05:00,14.4,Moscow
2025-06-03T06:00,15.1,Moscow
2025-06-03T07:00,16.4,Moscow
2025-06-03T08:00,17.6,Moscow
2025-06-03T09:00,19.0,Moscow
2025-06-03T10:00,20.2,Moscow
2025-06-03T11:00,21.0,Moscow
2025-06-03T12:00,21.2,Moscow
2025-06-03T13:00,21.4,Moscow
2025-06-03T14:00,22.1,Moscow
2025-06-03T15:00,22.2,Moscow
2025-06-03T16:00,22.1,Moscow
2025-06-03T17:00,22.3,Moscow
2025-06-03T18:00,21.8,Moscow
2025-06-03T19:00,21.0,Moscow
2025-06-03T20:00,20.0,Moscow
2025-06-03T21:00,19.4,Moscow
2025-06-03T22:00,18.4,Moscow
2025-06-03T23:00,17.8,Moscow
2025-06-04T00:00,16.7,Moscow
2025-06-04T01:00,16.3,Moscow
2025-06-04T02:00,15.9,Moscow
2025-06-04T03:00,14.7,Moscow
2025-06-04T04:00,14.4,Moscow
2025-06-04T05:00,14.3,Moscow
2025-06-04T06:00,14.7,Moscow
2025-06-04T07:00,15.5,Moscow
2025-06-04T08:00,16.5,Moscow
2025-06-04T09:00,17.5,Moscow
2025-06-04T10:00,18.7,Moscow
2025-06-04T11:00,18.9,Moscow
2025-06-04T12:00,19.4,Moscow
2025-06-04T13:00,20.2,Moscow
2025-06-04T14:00,21.2,Moscow
2025-06-04T15:00,21.2,Moscow
2025-06-04T16:00,21.5,Moscow
2025-06-04T17:00,21.3,Moscow
2025-06-04T18:00,21.8,Moscow
2025-06-04T19:00,21.2,Moscow
2025-06-04T20:00,20.4,Moscow
2025-06-04T21:00,19.1,Moscow
2025-06-04T22:00,17.9,Moscow
2025-06-04T23:00,17.0,Moscow
2025-06-05T00:00,14.9,Moscow
2025-06-05T01:00,14.4,Moscow
2025-06-05T02:00,13.7,Moscow
2025-06-05T03:00,12.4,Moscow
2025-06-05T04:00,12.1,Moscow
2025-06-05T05:00,11.9,Moscow
2025-06-05T06:00,12.8,Moscow
2025-06-05T07:00,14.9,Moscow
2025-06-05T08:00,17.3,Moscow
2025-06-05T09:00,20.1,Moscow
2025-06-05T10:00,21.4,Moscow
2025-06-05T11:00,22.2,Moscow
2025-06-05T12:00,23.2,Moscow
2025-06-05T13:00,24.0,Moscow
2025-06-05T14:00,24.6,Moscow
2025-06-05T15:00,24.9,Moscow
2025-06-05T16:00,25.1,Moscow
2025-06-05T17:00,25.0,Moscow
2025-06-05T18:00,24.7,Moscow
2025-06-05T19:00,24.2,Moscow
2025-06-05T20:00,23.2,Moscow
2025-06-05T21:00,21.6,Moscow
2025-06-05T22:00,20.1,Moscow
2025-06-05T23:00,19.1,Moscow
2025-06-06T00:00,17.7,Moscow
2025-06-06T01:00,16.8,Moscow
2025-06-06T02:00,16.1,Moscow
2025-06-06T03:00,15.6,Moscow
2025-06-06T04:00,15.1,Moscow
2025-06-06T05:00,15.4,Moscow
2025-06-06T06:00,16.6,Moscow
2025-06-06T07:00,18.0,Moscow
2025-06-06T08:00,18.2,Moscow
2025-06-06T09:00,20.5,Moscow
2025-06-06T10:00,22.2,Moscow
2025-06-06T11:00,23.1,Moscow
2025-06-06T12:00,23.4,Moscow
2025-06-06T13:00,24.7,Moscow
2025-06-06T14:00,25.1,Moscow
2025-06-06T15:00,26.2,Moscow
2025-06-06T16:00,26.1,Moscow
2025-06-06T17:00,26.2,Moscow
2025-06-06T18:00,25.9,Moscow
2025-06-06T19:00,25.3,Moscow
2025-06-06T20:00,24.3,Moscow
2025-06-06T21:00,23.1,Moscow
2025-06-06T22:00,21.9,Moscow
2025-06-06T23:00,20.9,Moscow
2025-06-07T00:00,19.4,Moscow
2025-06-07T01:00,18.8,Moscow
2025-06-07T02:00,18.3,Moscow
2025-06-07T03:00,17.6,Moscow
2025-06-07T04:00,17.4,Moscow
2025-06-07T05:00,17.2,Moscow
2025-06-07T06:00,17.9,Moscow
2025-06-07T07:00,19.8,Moscow
2025-06-07T08:00,21.7,Moscow
2025-06-07T09:00,23.5,Moscow
2025-06-07T10:00,24.7,Moscow
2025-06-07T11:00,25.6,Moscow
2025-06-07T12:00,26.5,Moscow
2025-06-07T13:00,26.6,Moscow
2025-06-07T14:00,24.6,Moscow
2025-06-07T15:00,26.7,Moscow
2025-06-07T16:00,26.8,Moscow
2025-06-07T17:00,24.5,Moscow
2025-06-07T18:00,25.6,Moscow
2025-06-07T19:00,25.4,Moscow
2025-06-07T20:00,24.0,Moscow
2025-06-07T21:00,22.7,Moscow
2025-06-07T22:00,21.9,Moscow
2025-06-07T23:00,21.0,Moscow
2025-06-08T00:00,19.0,Moscow
2025-06-08T01:00,18.4,Moscow
2025-06-08T02:00,17.6,Moscow
2025-06-08T03:00,16.9,Moscow
2025-06-08T04:00,16.3,Moscow
2025-06-08T05:00,16.3,Moscow
2025-06-08T06:00,17.5,Moscow
2025-06-08T07:00,19.7,Moscow
2025-06-08T08:00,22.1,Moscow
2025-06-08T09:00,24.0,Moscow
2025-06-08T10:00,25.7,Moscow
2025-06-08T11:00,26.7,Moscow
2025-06-08T12:00,27.3,Moscow
2025-06-08T13:00,28.6,Moscow
2025-06-08T14:00,27.7,Moscow
2025-06-08T15:00,25.3,Moscow
2025-06-08T16:00,26.8,Moscow
2025-06-08T17:00,27.5,Moscow
2025-06-08T18:00,26.8,Moscow
2025-06-08T19:00,24.6,Moscow
2025-06-08T20:00,23.8,Moscow
2025-06-08T21:00,22.4,Moscow
2025-06-08T22:00,21.4,Moscow
2025-06-08T23:00,20.7,Moscow
2025-06-09T00:00,19.7,Moscow
